"应用id","首页推荐版块[推荐]","首页推荐版块[热门]","状态","排序","是否作为首页轮播[大图轮播]","是否作为首页轮播[中图轮播]","分类[图表]","分类[数据处理]","分类[表单处理]","分类[其他]","分类[crm]","分类[仓储]","分类[便捷自动化]","分类[特定条件]","首页轮播（大图 1800*600）","首页轮播（中图 454*240）","允许展示的分组","应用名","记录编号"
"8","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/36/29/mid/36%E8%8E%B7%E5%8F%96%E5%8F%91%E7%94%9F%E4%BA%86%E6%9B%B4%E6%94%B9%E7%9A%84%E8%A1%8C%E5%B9%B6%E8%87%AA%E5%8A%A8%E6%9B%B4%E6%96%B0%E5%90%88%E8%AE%A1.jpg?v=2021111209571078B5D1A115E447939EA1BE6563100919130","全部","获取发生了更改的行并自动更新合计","17"
"10","1","1","已上架","",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/31/30/mid/31%E4%B8%80%E9%94%AE%E5%AE%8C%E6%88%90%E6%89%B9%E9%87%8F%E5%AE%A1%E6%89%B9.png?v=202111120933420B0000B2F2694DEFBF1011F3293DDEE6032","全部","一键完成批量审批","16"
"27",,,"已上架","999","1",,,,,,,,,,"https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/41/31/dc-appstore-banner01%20(1).png?v=2021111602411035FCAF41B2204A7A9F33A8289BCE864B251","","","欢迎来到cybozu开发者网站","15"
"9","1","1","已上架","",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/32/32/mid/32CSV%E4%B8%8B%E8%BD%BD%E8%AE%B0%E5%BD%95%E7%9A%84%E5%9B%9E%E5%A4%8D%E4%BF%A1%E6%81%AF%E7%9A%84%E6%96%B9%E6%B3%95.png?v=2021111108365349582F687A614CB2B9BD8C4F32B6F242206","全部","回复记录CSV下载","14"
"13","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/28/33/mid/28%20%E9%80%9A%E8%BF%87lookup%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE.png?v=202209200904556B4492036C024B1CAECA416B91F84CBC148","全部","通过lookup获取数据","13"
"11","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/30/34/mid/30%E8%87%AA%E5%8A%A8%E8%AE%B0%E5%BD%95%E4%BB%BB%E5%8A%A1%E5%AE%8C%E6%88%90%E6%97%A5%E5%92%8C%E8%B4%9F%E8%B4%A3%E4%BA%BA.png?v=20211111075006168DE20D85CD4B4A9334CBF0844EB4B0271","全部","自动记录任务完成日和负责人","12"
"24","1","1","已上架","","1","1","1",,,,,,,,"https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/16/35/large/16React%E5%AE%9E%E6%88%98--%E5%88%A9%E7%94%A8%E7%94%98%E7%89%B9%E5%9B%BE%E5%92%8C%E7%9C%8B%E6%9D%BF%E5%BC%BA%E5%8C%96kintone%E5%BA%94%E7%94%A8.png?v=20211123080059A970E1BE257F4E5A949FB5AB51CA1D5D155","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/16/35/mid/1616React%E5%AE%9E%E6%88%98--%E5%88%A9%E7%94%A8%E7%94%98%E7%89%B9%E5%9B%BE%E5%92%8C%E7%9C%8B%E6%9D%BF%E5%BC%BA%E5%8C%96kintone%E5%BA%94%E7%94%A8.png?v=20211111022322C67E0D39A86A4AFA97AEBDF89EE775A4088","","强化项目管理","11"
"15","1","1","已上架","",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/26/37/26%E9%80%9A%E8%BF%87Handsontable%E5%9C%A8kintone%E4%B8%8A%E5%AE%9E%E7%8E%B0%E5%83%8FExcel%E4%B8%80%E6%A0%B7%E7%BC%96%E8%BE%91%E6%95%B0%E6%8D%AE-%E4%B9%8B%E7%B3%BB%E5%88%971.png?v=202111160353266FBA405456554877B115DE1B7369870F202","全部","像Excel一样编辑数据","10"
"18","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/23/38/23%E6%98%BE%E7%A4%BA%E8%AE%B0%E5%BD%95%E6%B7%BB%E5%8A%A0%E9%A1%B5%E9%9D%A2%E6%97%B6%E8%AE%BE%E7%BD%AE%E5%88%9D%E5%A7%8B%E5%80%BC.jpg?v=20211116070817286136A258084E5BB0DA1AD8F1A91F5E141","全部","自动设置当天日期","9"
"14","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/27/39/27%E4%B8%8B%E6%8B%89%E8%8F%9C%E5%8D%95%E9%80%89%E9%A1%B9%E5%80%BC%E8%81%94%E5%8A%A8.jpg?v=20211116102206219C716B5D414BD69625CD8E4709B883209","全部","下拉菜单选项值联动","8"
"12","1","1","已上架","",,"1",,,"1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/29/40/29%E4%BD%BF%E7%94%A8%E8%AE%B0%E5%BD%95%E4%BF%9D%E5%AD%98%E5%90%8E%E4%BA%8B%E4%BB%B6%E6%9D%A5%E5%AE%9E%E7%8E%B0%E8%87%AA%E5%8A%A8%E7%BC%96%E5%8F%B7%E7%9A%84%E7%AE%80%E5%8D%95%E6%96%B9%E6%B3%95.png?v=20211118033155CF28E01260254889836D8B4C4D24C252003","全部","记录保存后实现自动编号","7"
"21","1","1","已上架","",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/20/41/mid/20%E6%8C%89%E7%85%A7%E6%9D%A1%E4%BB%B6%E7%BB%9F%E8%AE%A1%E5%85%B3%E8%81%94%E8%AE%B0%E5%BD%95%E7%9A%84%E9%A1%B9%E7%9B%AE.png?v=2021112209043450C9618E966246DF9A3B2B227F8615C2295","全部","按条件统计关联记录的值","6"
"5","1","1","已上架","",,"1",,"1","1",,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/43/43/mid/43%E7%94%A8CSV%E5%AF%BC%E5%87%BA%E5%85%B3%E8%81%94%E8%AE%B0%E5%BD%95%E5%88%97%E8%A1%A8%E6%95%B0%E6%8D%AE.png?v=2022072108572518711FAAF9794AF682C420E89A0F8F4E264","全部","用CSV导出关联记录列表数据","5"
"4","1","1","已上架","97",,"1",,"1",,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/44/44/mid/44%20kintone-Excel%E9%A2%84%E8%A7%88.png?v=20220726071246ACB583D0584E492891D0AD4DC4AF0B9B274","全部","kintone Excel预览","4"
"3","1","1","已上架","",,"1",,,,"1",,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/45/45/mid/45-%E8%A1%A8%E6%A0%BC%E6%93%8D%E4%BD%9C%E6%8A%80%E5%B7%A7.png?v=20220726071141E8768CD95A5B4EF1A5195C62C48EC0F8033","全部","表格操作技巧","3"
"2","1","1","已上架","",,"1",,,,"1",,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/46/46/mid/46%20SweetAlert%E4%B8%AA%E6%80%A7%E5%8C%96%E5%BC%B9%E5%87%BA%E7%AA%97%E5%8F%A3.png?v=20220729071014D8FDA957FAFD4ABEABAD4EACED1079D8186","全部","SweetAlert个性化弹出窗口","2"
"1","1","1","已上架","99",,"1","1",,,,,,,,"","https://dev-center-store.oss-cn-shanghai.aliyuncs.com/app-templates/47/47/mid/47%20%E5%90%8C%E6%AF%94%E7%8E%AF%E6%AF%94%E6%95%B0%E6%8D%AE%E5%8F%AF%E8%A7%86%E5%8C%96.png?v=20230705021718DC0C662983C34660A41EB7F4B1AB51C2167","全部","同比环比数据可视化","1"
